                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 5
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 

 Max. number of iterations             10
 Absolute water content tolerance [-]  .00100
 Absolute pressure head tolerance [L] 1.00000


 Temperature dependence of hydraulic properties is considered



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .038   .410    .500E-01    .208E+01    .757E+01   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3355   -.148E+02   .1172E+01   .7570E-02   .1196E+01   .7760E-01     .7996
   .3127   -.179E+02   .1253E+01   .7335E-02   .7760E+00  -.1101E+00     .7385
   .2870   -.215E+02   .1333E+01   .6722E-02   .4676E+00  -.3301E+00     .6692
   .2593   -.260E+02   .1414E+01   .5823E-02   .2621E+00  -.5816E+00     .5949
   .2312   -.313E+02   .1495E+01   .4785E-02   .1375E+00  -.8617E+00     .5194
   .2041   -.376E+02   .1576E+01   .3756E-02   .6816E-01  -.1166E+01     .4464
   .1789   -.453E+02   .1657E+01   .2838E-02   .3227E-01  -.1491E+01     .3787
   .1563   -.546E+02   .1737E+01   .2082E-02   .1474E-01  -.1831E+01     .3180
   .1366   -.658E+02   .1818E+01   .1493E-02   .6557E-02  -.2183E+01     .2650
   .1197   -.792E+02   .1899E+01   .1053E-02   .2861E-02  -.2544E+01     .2196
   .1054   -.955E+02   .1980E+01   .7346E-03   .1231E-02  -.2910E+01     .1813
   .0935   -.115E+03   .2061E+01   .5080E-03   .5245E-03  -.3280E+01     .1492
   .0836   -.138E+03   .2141E+01   .3493E-03   .2220E-03  -.3654E+01     .1226
   .0754   -.167E+03   .2222E+01   .2393E-03   .9352E-04  -.4029E+01     .1006
   .0687   -.201E+03   .2303E+01   .1634E-03   .3927E-04  -.4406E+01     .0824
   .0631   -.242E+03   .2384E+01   .1114E-03   .1646E-04  -.4784E+01     .0675
   .0586   -.292E+03   .2465E+01   .7588E-04   .6885E-05  -.5162E+01     .0553
   .0548   -.351E+03   .2545E+01   .5162E-04   .2878E-05  -.5541E+01     .0452
   .0518   -.423E+03   .2626E+01   .3510E-04   .1202E-05  -.5920E+01     .0370
   .0493   -.509E+03   .2707E+01   .2386E-04   .5018E-06  -.6299E+01     .0303
   .0472   -.614E+03   .2788E+01   .1621E-04   .2094E-06  -.6679E+01     .0248
   .0455   -.739E+03   .2869E+01   .1101E-04   .8738E-07  -.7059E+01     .0203
   .0442   -.890E+03   .2949E+01   .7480E-05   .3645E-07  -.7438E+01     .0166
   .0430   -.107E+04   .3030E+01   .5080E-05   .1521E-07  -.7818E+01     .0136
   .0421   -.129E+04   .3111E+01   .3450E-05   .6343E-08  -.8198E+01     .0111
   .0414   -.156E+04   .3192E+01   .2343E-05   .2646E-08  -.8577E+01     .0091
   .0408   -.187E+04   .3273E+01   .1591E-05   .1104E-08  -.8957E+01     .0074
   .0403   -.226E+04   .3354E+01   .1081E-05   .4603E-09  -.9337E+01     .0061
   .0398   -.272E+04   .3434E+01   .7339E-06   .1920E-09  -.9717E+01     .0050
   .0395   -.327E+04   .3515E+01   .4984E-06   .8006E-10  -.1010E+02     .0041
   .0392   -.394E+04   .3596E+01   .3384E-06   .3339E-10  -.1048E+02     .0033
   .0390   -.475E+04   .3677E+01   .2298E-06   .1393E-10  -.1086E+02     .0027
   .0388   -.572E+04   .3758E+01   .1561E-06   .5808E-11  -.1124E+02     .0022
   .0387   -.689E+04   .3838E+01   .1060E-06   .2422E-11  -.1162E+02     .0018
   .0386   -.830E+04   .3919E+01   .7197E-07   .1010E-11  -.1200E+02     .0015
   .0385   -.100E+05   .4000E+01   .4887E-07   .4214E-12  -.1238E+02     .0012
end
