                                                                         
 
 Program HYDRUS2
 Date:  24. 5.    Time:  20:40: 0
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 

 Max. number of iterations             10
 Absolute water content tolerance [-]  .00100
 Absolute pressure head tolerance [L] 1.00000


 Temperature dependence of hydraulic properties is considered



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .036   .410    .490E-01    .208E+01    .771E+01   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3373   -.148E+02   .1172E+01   .7460E-02   .1271E+01   .1043E+00     .8057
   .3149   -.179E+02   .1253E+01   .7271E-02   .8318E+00  -.7999E-01     .7456
   .2892   -.215E+02   .1333E+01   .6704E-02   .5052E+00  -.2965E+00     .6771
   .2616   -.260E+02   .1414E+01   .5843E-02   .2853E+00  -.5446E+00     .6031
   .2333   -.313E+02   .1495E+01   .4828E-02   .1507E+00  -.8219E+00     .5275
   .2058   -.376E+02   .1576E+01   .3807E-02   .7513E-01  -.1124E+01     .4541
   .1803   -.453E+02   .1657E+01   .2887E-02   .3573E-01  -.1447E+01     .3857
   .1573   -.546E+02   .1737E+01   .2124E-02   .1638E-01  -.1786E+01     .3242
   .1371   -.658E+02   .1818E+01   .1526E-02   .7304E-02  -.2136E+01     .2704
   .1199   -.792E+02   .1899E+01   .1079E-02   .3192E-02  -.2496E+01     .2242
   .1052   -.955E+02   .1980E+01   .7530E-03   .1375E-02  -.2862E+01     .1851
   .0930   -.115E+03   .2061E+01   .5212E-03   .5865E-03  -.3232E+01     .1524
   .0828   -.138E+03   .2141E+01   .3586E-03   .2484E-03  -.3605E+01     .1252
   .0744   -.167E+03   .2222E+01   .2457E-03   .1047E-03  -.3980E+01     .1027
   .0675   -.201E+03   .2303E+01   .1679E-03   .4398E-04  -.4357E+01     .0842
   .0618   -.242E+03   .2384E+01   .1145E-03   .1843E-04  -.4734E+01     .0690
   .0571   -.292E+03   .2465E+01   .7795E-04   .7712E-05  -.5113E+01     .0565
   .0533   -.351E+03   .2545E+01   .5304E-04   .3224E-05  -.5492E+01     .0462
   .0501   -.423E+03   .2626E+01   .3606E-04   .1347E-05  -.5871E+01     .0378
   .0476   -.509E+03   .2707E+01   .2451E-04   .5622E-06  -.6250E+01     .0310
   .0455   -.614E+03   .2788E+01   .1665E-04   .2346E-06  -.6630E+01     .0253
   .0437   -.739E+03   .2869E+01   .1131E-04   .9791E-07  -.7009E+01     .0207
   .0423   -.890E+03   .2949E+01   .7686E-05   .4085E-07  -.7389E+01     .0169
   .0412   -.107E+04   .3030E+01   .5220E-05   .1704E-07  -.7769E+01     .0139
   .0402   -.129E+04   .3111E+01   .3545E-05   .7108E-08  -.8148E+01     .0113
   .0395   -.156E+04   .3192E+01   .2408E-05   .2965E-08  -.8528E+01     .0093
   .0388   -.187E+04   .3273E+01   .1635E-05   .1237E-08  -.8908E+01     .0076
   .0383   -.226E+04   .3354E+01   .1110E-05   .5157E-09  -.9288E+01     .0062
   .0379   -.272E+04   .3434E+01   .7541E-06   .2151E-09  -.9667E+01     .0051
   .0376   -.327E+04   .3515E+01   .5121E-06   .8971E-10  -.1005E+02     .0042
   .0373   -.394E+04   .3596E+01   .3478E-06   .3742E-10  -.1043E+02     .0034
   .0370   -.475E+04   .3677E+01   .2362E-06   .1560E-10  -.1081E+02     .0028
   .0368   -.572E+04   .3758E+01   .1604E-06   .6508E-11  -.1119E+02     .0023
   .0367   -.689E+04   .3838E+01   .1089E-06   .2714E-11  -.1157E+02     .0019
   .0366   -.830E+04   .3919E+01   .7395E-07   .1132E-11  -.1195E+02     .0015
   .0365   -.100E+05   .4000E+01   .5022E-07   .4721E-12  -.1233E+02     .0012
end
